model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,query_type,n,accuracy,parse_rate
qwen3_8b,Qwen3-8B,main,main,nl_binary_score,ate,100,0.76,1.0
qwen3_8b,Qwen3-8B,main,main,nl_binary_score,backadj,100,0.44,1.0
qwen3_8b,Qwen3-8B,main,main,nl_binary_score,correlation,100,0.55,1.0
qwen3_8b,Qwen3-8B,main,main,nl_binary_score,det-counterfactual,60,0.48333333333333334,1.0
qwen3_8b,Qwen3-8B,main,main,nl_binary_score,ett,60,0.43333333333333335,1.0
qwen3_8b,Qwen3-8B,main,main,nl_binary_score,marginal,100,0.52,1.0
qwen3_8b,Qwen3-8B,main,main,nl_binary_score,nde,60,0.6666666666666666,1.0
qwen3_8b,Qwen3-8B,main,main,nl_binary_score,nie,60,0.55,1.0
qwen3_8b,Qwen3-8B,main,main,nl_formal_binary_score,ate,100,0.7,1.0
qwen3_8b,Qwen3-8B,main,main,nl_formal_binary_score,backadj,100,0.45,1.0
qwen3_8b,Qwen3-8B,main,main,nl_formal_binary_score,correlation,100,0.54,1.0
qwen3_8b,Qwen3-8B,main,main,nl_formal_binary_score,det-counterfactual,60,0.5166666666666667,1.0
qwen3_8b,Qwen3-8B,main,main,nl_formal_binary_score,ett,60,0.43333333333333335,1.0
qwen3_8b,Qwen3-8B,main,main,nl_formal_binary_score,marginal,100,0.53,1.0
qwen3_8b,Qwen3-8B,main,main,nl_formal_binary_score,nde,60,0.5666666666666667,1.0
qwen3_8b,Qwen3-8B,main,main,nl_formal_binary_score,nie,60,0.5,1.0
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise_binary_score,ate,100,0.8,1.0
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise_binary_score,backadj,100,0.48,1.0
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise_binary_score,correlation,100,0.53,1.0
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise_binary_score,det-counterfactual,60,0.5,1.0
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise_binary_score,ett,60,0.35,1.0
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise_binary_score,marginal,100,0.55,1.0
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise_binary_score,nde,60,0.7666666666666667,1.0
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise_binary_score,nie,60,0.6666666666666666,1.0
