model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,n_pairs,strict_ccc,invalid_pair_rate
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,22,0.45454545454545453,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,22,0.22727272727272727,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,25,0.16,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,25,0.24,0.0
qwen3_8b,Qwen3-8B,stress,easy,nl,12,0.3333333333333333,0.0
qwen3_8b,Qwen3-8B,stress,easy,nl_formal,12,0.16666666666666666,0.0
qwen3_8b,Qwen3-8B,stress,hard,nl,17,0.47058823529411764,0.0
qwen3_8b,Qwen3-8B,stress,hard,nl_formal,17,0.29411764705882354,0.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl,29,0.4482758620689655,0.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl_formal,29,0.3103448275862069,0.0
