model,model_display_name,sample_mode,prompt_mode,query_type,n,accuracy,parse_rate
qwen3_8b,Qwen3-8B,formal,direct,ate,100,0.74,1.0
qwen3_8b,Qwen3-8B,formal,direct,backadj,100,0.41,1.0
qwen3_8b,Qwen3-8B,formal,direct,correlation,100,0.63,1.0
qwen3_8b,Qwen3-8B,formal,direct,det-counterfactual,60,0.5666666666666667,1.0
qwen3_8b,Qwen3-8B,formal,direct,ett,60,0.4666666666666667,1.0
qwen3_8b,Qwen3-8B,formal,direct,marginal,100,0.44,1.0
qwen3_8b,Qwen3-8B,formal,direct,nde,60,0.5166666666666667,1.0
qwen3_8b,Qwen3-8B,formal,direct,nie,60,0.6166666666666667,1.0
qwen3_8b,Qwen3-8B,formal,structured,ate,100,0.71,1.0
qwen3_8b,Qwen3-8B,formal,structured,backadj,100,0.41,1.0
qwen3_8b,Qwen3-8B,formal,structured,correlation,100,0.59,1.0
qwen3_8b,Qwen3-8B,formal,structured,det-counterfactual,60,0.55,1.0
qwen3_8b,Qwen3-8B,formal,structured,ett,60,0.45,1.0
qwen3_8b,Qwen3-8B,formal,structured,marginal,100,0.45,1.0
qwen3_8b,Qwen3-8B,formal,structured,nde,60,0.5333333333333333,1.0
qwen3_8b,Qwen3-8B,formal,structured,nie,60,0.6166666666666667,1.0
