candidate_index,sample_id,donor_sample_id,story_id,query_type,rung,gold_label,component,layer,natural_gold_margin,target_formal_gold_margin,patched_gold_margin,absolute_recovery,normalized_recovery,method,model,model_display_name,sample_mode
1,12055,12755,cholesterol,ate,2,yes,residual,0,8.375,9.4375,8.1875,-0.1875,-0.17647058823529413,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,1,8.375,9.4375,8.1875,-0.1875,-0.17647058823529413,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,2,8.375,9.4375,8.4375,0.0625,0.058823529411764705,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,3,8.375,9.4375,8.375,0.0,0.0,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,4,8.375,9.4375,8.6875,0.3125,0.29411764705882354,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,5,8.375,9.4375,8.5,0.125,0.11764705882352941,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,6,8.375,9.4375,8.125,-0.25,-0.23529411764705882,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,7,8.375,9.4375,8.1875,-0.1875,-0.17647058823529413,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,8,8.375,9.4375,8.3125,-0.0625,-0.058823529411764705,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,9,8.375,9.4375,8.5,0.125,0.11764705882352941,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,10,8.375,9.4375,8.4375,0.0625,0.058823529411764705,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,11,8.375,9.4375,8.4375,0.0625,0.058823529411764705,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,12,8.375,9.4375,8.75,0.375,0.35294117647058826,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,13,8.375,9.4375,8.8125,0.4375,0.4117647058823529,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,14,8.375,9.4375,8.375,0.0,0.0,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,15,8.375,9.4375,8.125,-0.25,-0.23529411764705882,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,16,8.375,9.4375,7.8125,-0.5625,-0.5294117647058824,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,17,8.375,9.4375,8.3125,-0.0625,-0.058823529411764705,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,18,8.375,9.4375,8.6875,0.3125,0.29411764705882354,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,19,8.375,9.4375,8.5,0.125,0.11764705882352941,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,20,8.375,9.4375,9.125,0.75,0.7058823529411765,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,21,8.375,9.4375,8.9375,0.5625,0.5294117647058824,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,22,8.375,9.4375,8.25,-0.125,-0.11764705882352941,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,23,8.375,9.4375,8.0,-0.375,-0.35294117647058826,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,24,8.375,9.4375,8.25,-0.125,-0.11764705882352941,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,25,8.375,9.4375,8.375,0.0,0.0,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,26,8.375,9.4375,8.1875,-0.1875,-0.17647058823529413,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,27,8.375,9.4375,8.625,0.25,0.23529411764705882,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,28,8.375,9.4375,8.625,0.25,0.23529411764705882,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,29,8.375,9.4375,8.875,0.5,0.47058823529411764,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,30,8.375,9.4375,9.375,1.0,0.9411764705882353,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,31,8.375,9.4375,9.5625,1.1875,1.1176470588235294,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,32,8.375,9.4375,9.6875,1.3125,1.2352941176470589,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,33,8.375,9.4375,9.5,1.125,1.0588235294117647,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
1,12055,12755,cholesterol,ate,2,yes,residual,34,8.375,9.4375,10.0,1.625,1.5294117647058822,hf_last_token_random_formal_to_natural,qwen3_4b,Qwen3-4B,formal
