model,dataset_variant,prompt_mode,parsed_label,n
qwen3_4b,anticommonsense,nl,no,91
qwen3_4b,anticommonsense,nl,yes,9
qwen3_4b,anticommonsense,nl_formal,no,84
qwen3_4b,anticommonsense,nl_formal,yes,16
qwen3_4b,commonsense,nl,no,85
qwen3_4b,commonsense,nl,yes,15
qwen3_4b,commonsense,nl_formal,no,85
qwen3_4b,commonsense,nl_formal,yes,15
qwen3_4b,easy,nl,no,89
qwen3_4b,easy,nl,yes,11
qwen3_4b,easy,nl_formal,no,82
qwen3_4b,easy,nl_formal,yes,18
qwen3_4b,hard,nl,no,91
qwen3_4b,hard,nl,yes,9
qwen3_4b,hard,nl_formal,no,90
qwen3_4b,hard,nl_formal,yes,10
qwen3_4b,noncommonsense,nl,no,88
qwen3_4b,noncommonsense,nl,yes,12
qwen3_4b,noncommonsense,nl_formal,no,93
qwen3_4b,noncommonsense,nl_formal,yes,7
