candidate_index,sample_id,story_id,query_type,rung,gold_label,component,layer,natural_gold_margin,symbolic_gold_margin,patched_gold_margin,absolute_recovery,normalized_recovery,method,model,model_display_name
1,16780,cholesterol,ate,2,no,residual,0,-6.75,-8.125,-6.875,-0.125,0.0909090909090909,hf_last_token_symbolic_to_natural,qwen3_8b,Qwen3-8B
1,16780,cholesterol,ate,2,no,residual,1,-6.75,-8.125,-6.8125,-0.0625,0.0454545454545454,hf_last_token_symbolic_to_natural,qwen3_8b,Qwen3-8B
1,16780,cholesterol,ate,2,no,residual,2,-6.75,-8.125,-6.59375,0.15625,-0.1136363636363636,hf_last_token_symbolic_to_natural,qwen3_8b,Qwen3-8B
1,16780,cholesterol,ate,2,no,residual,3,-6.75,-8.125,-6.625,0.125,-0.0909090909090909,hf_last_token_symbolic_to_natural,qwen3_8b,Qwen3-8B
1,16780,cholesterol,ate,2,no,residual,4,-6.75,-8.125,-6.375,0.375,-0.2727272727272727,hf_last_token_symbolic_to_natural,qwen3_8b,Qwen3-8B
1,16780,cholesterol,ate,2,no,residual,5,-6.75,-8.125,-6.4375,0.3125,-0.2272727272727272,hf_last_token_symbolic_to_natural,qwen3_8b,Qwen3-8B
1,16780,cholesterol,ate,2,no,residual,6,-6.75,-8.125,-6.3125,0.4375,-0.3181818181818182,hf_last_token_symbolic_to_natural,qwen3_8b,Qwen3-8B
1,16780,cholesterol,ate,2,no,residual,7,-6.75,-8.125,-5.84375,0.90625,-0.6590909090909091,hf_last_token_symbolic_to_natural,qwen3_8b,Qwen3-8B
1,16780,cholesterol,ate,2,no,residual,8,-6.75,-8.125,-5.71875,1.03125,-0.75,hf_last_token_symbolic_to_natural,qwen3_8b,Qwen3-8B
1,16780,cholesterol,ate,2,no,residual,9,-6.75,-8.125,-6.03125,0.71875,-0.5227272727272727,hf_last_token_symbolic_to_natural,qwen3_8b,Qwen3-8B
1,16780,cholesterol,ate,2,no,residual,10,-6.75,-8.125,-6.3125,0.4375,-0.3181818181818182,hf_last_token_symbolic_to_natural,qwen3_8b,Qwen3-8B
